iterations,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
6000,0.490454572,0.502942978,0.43543279,0.139251896,0.374192039,0.265339519,0.998180128,0.997903521,0.993134836,1.00098086,0.991034768,0.201113825,0.177702875,0.261275502,1.020702013,1.005157011,0.989882161,1.007546667,0.990433505,1.010722317,0.241093925
6001,0.490454572,0.502942978,0.43543279,0.139251896,0.374192039,0.265339519,0.998180128,0.997903521,0.993134836,1.00098086,0.991034768,0.201113825,0.177702875,0.261275502,1.020702013,1.005157011,0.989882161,1.007546667,0.990433505,1.010722317,0.241093925
6002,0.490047213,0.503479694,0.43925729,0.136955341,0.375498375,0.26631461,0.997893729,0.998016163,0.994444572,0.999188704,0.993321779,0.201697277,0.178136006,0.261409251,1.02146545,1.004137623,0.991866732,1.007555803,0.991036183,1.010906736,0.240537712
6003,0.489699307,0.503579289,0.442334149,0.139814814,0.378820332,0.264663177,0.9989683,0.998811799,0.99500619,1.000405059,0.991087216,0.202103684,0.179948814,0.260493771,1.024529923,1.003743565,0.992821054,1.009440824,0.991119121,1.012322331,0.237074135
6004,0.490318704,0.502922008,0.443494769,0.137860442,0.379255271,0.268109049,1.000399231,0.999009935,0.99217128,1.000724603,0.992748466,0.199288479,0.178061046,0.259914599,1.026252946,1.003447028,0.990376672,1.011437377,0.989194081,1.014721812,0.235478505
6005,0.490318704,0.502922008,0.443494769,0.137860442,0.379255271,0.268109049,1.000399231,0.999009935,0.99217128,1.000724603,0.992748466,0.199288479,0.178061046,0.259914599,1.026252946,1.003447028,0.990376672,1.011437377,0.989194081,1.014721812,0.235478505
6006,0.490318704,0.502922008,0.443494769,0.137860442,0.379255271,0.268109049,1.000399231,0.999009935,0.99217128,1.000724603,0.992748466,0.199288479,0.178061046,0.259914599,1.026252946,1.003447028,0.990376672,1.011437377,0.989194081,1.014721812,0.235478505
6007,0.490939681,0.503049644,0.443363583,0.134936602,0.383406964,0.269644838,0.999256549,0.998323199,0.991611818,1.001855719,0.995096814,0.202012511,0.180099936,0.256462861,1.025902454,1.003641754,0.992078908,1.01152461,0.986654542,1.015790417,0.237536643
6008,0.490939681,0.503049644,0.443363583,0.134936602,0.383406964,0.269644838,0.999256549,0.998323199,0.991611818,1.001855719,0.995096814,0.202012511,0.180099936,0.256462861,1.025902454,1.003641754,0.992078908,1.01152461,0.986654542,1.015790417,0.237536643
6009,0.490939681,0.503049644,0.443363583,0.134936602,0.383406964,0.269644838,0.999256549,0.998323199,0.991611818,1.001855719,0.995096814,0.202012511,0.180099936,0.256462861,1.025902454,1.003641754,0.992078908,1.01152461,0.986654542,1.015790417,0.237536643
6010,0.490939681,0.503049644,0.443363583,0.134936602,0.383406964,0.269644838,0.999256549,0.998323199,0.991611818,1.001855719,0.995096814,0.202012511,0.180099936,0.256462861,1.025902454,1.003641754,0.992078908,1.01152461,0.986654542,1.015790417,0.237536643
6011,0.490939681,0.503049644,0.443363583,0.134936602,0.383406964,0.269644838,0.999256549,0.998323199,0.991611818,1.001855719,0.995096814,0.202012511,0.180099936,0.256462861,1.025902454,1.003641754,0.992078908,1.01152461,0.986654542,1.015790417,0.237536643
6012,0.490939681,0.503049644,0.443363583,0.134936602,0.383406964,0.269644838,0.999256549,0.998323199,0.991611818,1.001855719,0.995096814,0.202012511,0.180099936,0.256462861,1.025902454,1.003641754,0.992078908,1.01152461,0.986654542,1.015790417,0.237536643
6013,0.490939681,0.503049644,0.443363583,0.134936602,0.383406964,0.269644838,0.999256549,0.998323199,0.991611818,1.001855719,0.995096814,0.202012511,0.180099936,0.256462861,1.025902454,1.003641754,0.992078908,1.01152461,0.986654542,1.015790417,0.237536643
6014,0.49081352,0.502489635,0.440449258,0.134805594,0.383794971,0.270619184,1.00032363,1.002868729,0.989275587,1.001327349,0.993114064,0.201592399,0.178928001,0.255981902,1.023524546,1.004519674,0.996093567,1.010712555,0.985569234,1.016432068,0.237902355
6015,0.490943006,0.502565992,0.439128268,0.13404443,0.381554346,0.267759922,1.001339361,1.004011573,0.98948275,0.997497742,0.99121808,0.201767702,0.180227269,0.258661393,1.025347516,1.001934263,0.995483334,1.009914815,0.986524122,1.017147048,0.239601238
6016,0.490875593,0.502112013,0.437397437,0.132314953,0.379807253,0.265821785,1.002171183,1.005107914,0.987570374,0.998254077,0.995751767,0.204204643,0.180907233,0.260481028,1.026126329,1.001014511,0.993298456,1.008981317,0.983283823,1.014719688,0.235511788
6017,0.490875593,0.502112013,0.437397437,0.132314953,0.379807253,0.265821785,1.002171183,1.005107914,0.987570374,0.998254077,0.995751767,0.204204643,0.180907233,0.260481028,1.026126329,1.001014511,0.993298456,1.008981317,0.983283823,1.014719688,0.235511788
6018,0.490875593,0.502112013,0.437397437,0.132314953,0.379807253,0.265821785,1.002171183,1.005107914,0.987570374,0.998254077,0.995751767,0.204204643,0.180907233,0.260481028,1.026126329,1.001014511,0.993298456,1.008981317,0.983283823,1.014719688,0.235511788
6019,0.49079224,0.502493062,0.43699756,0.132010754,0.383755496,0.267186072,1.003362345,1.005083287,0.986436733,1.000255013,0.995095919,0.206094675,0.179976088,0.257589344,1.023971026,1.000269934,0.99339238,1.011253708,0.985241446,1.018056582,0.234418699
6020,0.49079224,0.502493062,0.43699756,0.132010754,0.383755496,0.267186072,1.003362345,1.005083287,0.986436733,1.000255013,0.995095919,0.206094675,0.179976088,0.257589344,1.023971026,1.000269934,0.99339238,1.011253708,0.985241446,1.018056582,0.234418699
6021,0.490197089,0.502803245,0.437888698,0.133299392,0.38462066,0.265422787,1.000390784,1.00504214,0.987440319,1.004556647,0.995544271,0.208855331,0.178020203,0.259320894,1.026136719,0.999238576,0.994037206,1.009818115,0.983059428,1.017566466,0.234797503
6022,0.48985632,0.504005687,0.438091647,0.130577864,0.386273365,0.266881874,1.000458304,1.006007016,0.985528338,1.007841901,0.99793338,0.20861402,0.179554123,0.25731536,1.026431487,0.997778024,0.997410974,1.009629898,0.98210804,1.01838666,0.235350341
6023,0.48985632,0.504005687,0.438091647,0.130577864,0.386273365,0.266881874,1.000458304,1.006007016,0.985528338,1.007841901,0.99793338,0.20861402,0.179554123,0.25731536,1.026431487,0.997778024,0.997410974,1.009629898,0.98210804,1.01838666,0.235350341
6024,0.48985632,0.504005687,0.438091647,0.130577864,0.386273365,0.266881874,1.000458304,1.006007016,0.985528338,1.007841901,0.99793338,0.20861402,0.179554123,0.25731536,1.026431487,0.997778024,0.997410974,1.009629898,0.98210804,1.01838666,0.235350341
6025,0.48985632,0.504005687,0.438091647,0.130577864,0.386273365,0.266881874,1.000458304,1.006007016,0.985528338,1.007841901,0.99793338,0.20861402,0.179554123,0.25731536,1.026431487,0.997778024,0.997410974,1.009629898,0.98210804,1.01838666,0.235350341
6026,0.489425649,0.504359734,0.438167244,0.133280794,0.385920795,0.267498761,0.999811895,1.002404008,0.987705663,1.011326817,1.001645555,0.208915105,0.181109517,0.255770792,1.023702761,0.997937133,1.000397119,1.015441676,0.985558075,1.01610972,0.235784801
6027,0.489425649,0.504359734,0.438167244,0.133280794,0.385920795,0.267498761,0.999811895,1.002404008,0.987705663,1.011326817,1.001645555,0.208915105,0.181109517,0.255770792,1.023702761,0.997937133,1.000397119,1.015441676,0.985558075,1.01610972,0.235784801
6028,0.488638171,0.505170114,0.440519371,0.132574909,0.386170021,0.266259716,0.998846026,1.000184918,0.986278175,1.014155915,0.999367843,0.204524913,0.179923937,0.255968475,1.023116434,0.9989687,1.000644254,1.016446402,0.985912509,1.015755921,0.233372329
6029,0.489086074,0.505426622,0.435249975,0.131286634,0.385751602,0.263875261,0.997722844,0.99661973,0.985248491,1.010314944,1.002048379,0.205796616,0.18144367,0.257570234,1.020473778,0.998389558,1.00356222,1.012769199,0.986883208,1.017048543,0.234064721
6030,0.489086074,0.505426622,0.435249975,0.131286634,0.385751602,0.263875261,0.997722844,0.99661973,0.985248491,1.010314944,1.002048379,0.205796616,0.18144367,0.257570234,1.020473778,0.998389558,1.00356222,1.012769199,0.986883208,1.017048543,0.234064721
6031,0.488803898,0.505949679,0.434067785,0.131881312,0.385186944,0.264573552,0.997055151,0.994547849,0.985861172,1.010375525,1.002378808,0.20432673,0.182955643,0.257541344,1.019930037,0.998168842,1.004892356,1.014177532,0.986475281,1.017061801,0.233629514
6032,0.488493008,0.505995869,0.433425208,0.130035205,0.386978473,0.265163224,0.995222692,0.996928903,0.983035533,1.013029532,1.001254183,0.204095715,0.186596682,0.260760088,1.020823401,0.996065863,1.006377631,1.013207205,0.988251357,1.017606707,0.235507441
6033,0.488493008,0.505995869,0.433425208,0.130035205,0.386978473,0.265163224,0.995222692,0.996928903,0.983035533,1.013029532,1.001254183,0.204095715,0.186596682,0.260760088,1.020823401,0.996065863,1.006377631,1.013207205,0.988251357,1.017606707,0.235507441
6034,0.488493008,0.505995869,0.433425208,0.130035205,0.386978473,0.265163224,0.995222692,0.996928903,0.983035533,1.013029532,1.001254183,0.204095715,0.186596682,0.260760088,1.020823401,0.996065863,1.006377631,1.013207205,0.988251357,1.017606707,0.235507441
