,TRUE,HMC,BFGS,SQP
0,0.5,0.500898111,0.507584291,0.586744607
1,0.5,0.501926161,0.79424973,0.399909982
2,0.5,0.508242665,0.709686157,0.313881735
3,0.5,0.50196039,0.946088688,0.394124272
4,0.2,0.463253801,0.452714917,0.586744607
5,0.2,0.417972632,0.79424973,0.467054266
6,0.2,0.374775942,0.709686157,0.368975138
7,0.2,0.481970388,0.946088688,0.589104382
8,0.3,0.37114637,0.507584291,0.586744607
9,0.3,0.343441733,0.79424973,0.403825001
10,0.3,0.223916828,0.709686157,0.361097769
11,0.3,0.216787837,0.946088688,0.422558434
12,1,0.968662052,0.795958153,0.595128085
13,1,0.965817147,1.254158139,1.546194442
14,1,0.9980796,1.007584291,1.086744607
15,1,1.000302841,1.29424973,0.679292902
16,1,0.995709011,1.209686157,2.91382531
17,1,0.995379167,1.446088688,0.81729065
18,1,1.000901801,1.236848475,1.729647624
19,0.25,0.230411122,0.507584291,0.503574151
20,0.25,0.346893542,0.79424973,0.353015951
21,0.25,0.314923909,0.709686157,0.489003179
22,0.25,0.353044174,0.946088688,0.369974858
23,0.25,0.223461705,0.736848475,0.398450701
24,1,0.973727879,0.795498986,0.50657143
25,1,0.970282797,1.050934139,1.037484061
26,1,0.969240102,0.975605775,2.865122887
27,1,0.964855286,1.186248214,0.486873384
28,1,0.96317777,1.009965657,0.248965498
29,1,0.970745493,1.242092974,0.609675833
30,1,0.968861255,1.03960496,0.878671171
31,1,0.97080416,0.555575229,1.430549969
32,1,0.972656013,1.117395656,0.461111997
33,1,0.961910252,0.561551208,0.876774723
34,0.25,0.266385005,0.266296734,0.265607419
35,0,0.090137452,0.36904551,0.554327611
