cluster,store,product,marketing_5_1,marketing_8_1,marketing_3_1,marketing_4_1,marketing_6_1,marketing_6_2,marketing_6_4,marketing_6_6,marketing_6_7,marketing_6_10,si,unemployment_rate,sales_qty
1,1,1,824.973,0.01061536,257.7916,0,0.021445682,0.033680108,0.000774921,8.16E-06,0.003442273,0,0.820756448,3.6,6472.74
1,1,1,516.079,0.007213001,118.0416,0,0.012622479,0.023104248,0.003113497,0.001720282,0.001997603,0,1.085339705,3.9,2961.13
1,1,1,1175.304,0.014834285,693.7081,0,0.024774943,0.063011459,0.011099612,0.006424439,0.004710698,0,1.487003446,4.2,14404.90791
1,1,1,1322.217,0.016195229,578.2914,0,0.003596527,0.042597892,0.013784623,0.007412315,0.006452996,0,1.567986436,4.2,11724.15
1,1,1,621.555,0.008710039,204.2082,0,0.00256988,0.019867619,0.005755868,0.003957757,0.002468829,0,1.339747443,4.2,4309.41
1,1,1,971.886,0.011295832,333.0832,0,0.006056897,0.031947104,0.00677944,0.003987855,0.004314131,0,0.981665434,4.15,7050.17
1,1,1,560.4151,0.013201153,371.5654,0,0.005818748,0.024002853,0.007452998,2.52E-05,0.00455004,0,1.166162786,4.1,5946.98
1,1,1,699.998,0.016479991,289.8426,0,0.007755776,0.069652729,0.014027986,0.012315602,0.00553865,0,1.191928755,4.1,13582.12
1,1,1,3224.6985,0.010384591,46.5722,0,0.006932413,0.010680678,0.007967037,0.006770033,0.002861028,0,0.93422764,4.1,5052.78082
1,1,1,2700.8886,0.008365365,0,0,0.006513667,0.01132583,0.01296663,0.011372904,0.00181995,0,0.704827262,4.1,3705.73
1,1,1,3011.9005,0.008942287,0,0,0.005714756,0.028205197,0.016093385,0.009852346,0.001801998,0,0.714802776,4,4348.3
1,1,1,3764.8765,0.011249974,0,5050.3028,0.006316,0.039167239,0.014479344,0.012199134,0.002165756,0.011874482,0.784100281,4,4794.47
1,1,1,2799.1026,0.009663439,0,3496.3634,0.002159213,0.022592088,0.008478472,0.008138695,0.003118668,0.005148367,1.034743972,4,3709.37
1,1,1,6629.4581,0.017740343,6.8049,28587.9905,3.56E-06,0.048708021,0.012471742,0.028050043,0.007444447,0,1.019709657,4,10789.63396
1,1,1,645.8311,0.016021941,105.8292,29250.705,4.78E-08,0.101956797,0.006548391,0.018368877,0.00408027,0,1.059214549,3.85,7456.82
1,1,1,287.4982,0.00796152,86.0732,20384.0894,2.12E-05,0.014502508,0.003371758,0.006787077,0.001371431,0.001040534,0.751695856,3.7,3183.08
1,1,1,281.2478,0.00753501,84.3171,17371.4518,3.21E-05,0.011865602,0.00313212,0.001129396,0.001297565,0.006663196,0.690037478,3.7,2750.86
1,1,1,262.4979,0.00881454,90.1463,18419.1072,7.69E-05,0.009186944,0.003985459,0.003509351,0.001218989,0.006192887,0.523024374,3.7,3373.93
1,1,1,264.5813,0.00725067,63.9269,9495.2778,5.07E-05,0.009401056,0.004408881,0.010771187,0.001288995,0.00809143,0.530302206,3.6,2882.16
1,1,1,327.0814,0.00909888,23.2683,1142.8967,0.000914134,0.014639234,0.004994263,0.002850205,0.001660037,0.006944256,0.591210293,3.5,2462.74
1,1,1,0,0.00881454,0,1238.1381,0.002388324,0.012901691,0.006109007,0.00395177,0.001805611,0.002813712,0.623380721,3.5,3137.18
1,1,1,0,0.00881454,0,0,0.004372766,0.039853766,0.003636649,0.006374712,0.001579733,0.004074636,0.640782479,3.5,2883.52
1,1,1,0,0.00909888,0,0,4.40E-06,0.036207473,0.004178288,0.006056374,0.001089653,0.010960632,0.566078113,3.5,2641.63
1,1,1,3032.783,0.01023624,0,65139.7894,2.81E-08,0.024018024,0.008564587,0.001295161,0.001360931,0.017339841,0.707773941,3.5,3872.11
1,1,1,2885.2429,0.00952539,0,43426.5262,3.86E-08,0.025048106,0.011011944,5.84E-05,0.003527885,0.016438142,0.761771865,3.5,3107.774118
1,1,1,2278.6859,0.00867237,0,21713.2631,1.32E-08,0.022986718,0.009200565,3.21E-05,0.001701189,0.013491249,0.882977463,3.5,2624.07
1,1,1,3196.7172,0.00980973,0,1617.3872,0.005800228,0.038951066,0.012672462,0.007215054,0.001846754,0.008685464,0.861861269,3.5,8827.64
1,1,1,1901.636,0.00796152,0,6289.4781,0.006585926,0.025725619,0.008594321,0.009035763,0.001167034,0.001186931,1.726129591,3.55,2967
1,1,1,4852.4547,0.01435917,1167.6667,41779.7044,0.019493659,0.058032369,0.022439501,0.005713702,0.003297966,0.003217577,1.682657813,3.6,14459.16
1,1,1,2950.8164,0.00909888,461.8335,25425.2191,0.006727897,0.045763934,0.008873519,0.003266082,0.002068584,0.003272908,2.067162575,3.6,3608.13
1,1,1,5327.8647,0.01521219,856.8611,51907.1032,0.00444363,0.05839337,0.012129673,0.006065734,0.003647065,0.003130526,1.201480962,3.6,8066.413955
1,1,1,2081.9639,0.009225253,530.2221,32241.7657,0.003233073,0.032328512,0.003440712,0.003076964,0.00177671,0.001366321,1.085805188,3.9,3159.414884
1,1,1,0,0.001642853,264.6112,27220.0095,0.003532473,0.007927965,0.008114155,2.73E-05,0.001565912,0.000157264,0.608689442,4.2,2783.98
1,1,1,0,0.00123214,30.2222,18176.6082,0.001735175,0.004455804,0.004655963,1.50E-05,0.000933412,0.001296971,0.625909144,4.2,2353.41
1,1,1,0,0.000684522,0,21685.3449,0.002164237,0.009926871,0.002732901,0.009390064,0.001123757,0.007586086,0.622046723,4.2,2695.16
1,1,1,0,0.000821427,1040.8478,33732.7588,0.002156351,0.014584343,0.002677699,0.014416516,0.001101795,0.021206432,0.664004492,4.2,2715.12
1,1,1,1655.3522,0.001779758,2315.087,24094.8278,0.001710666,0.046678633,0.005801469,0.024208851,0.002707295,0.034318399,0.625903076,4.05,6839.84
1,1,1,916.0678,0.000958331,1674.8696,0,0.002599133,0.109892301,0.003083185,0.009204956,0.00162496,0.068239505,0.766339698,3.9,2905.7
1,1,1,894.6391,0.000958331,773.7175,0,0.003363428,0.017345839,0.001856999,0.003594378,0.001763676,0.001347502,0.672819625,3.9,2719.73
1,1,1,824.9961,0.000821427,948.9782,8392.68,0.003735659,0.000561096,0.000117402,4.94E-05,0.001411927,0.001839113,0.76138631,3.9,3532.63
1,1,1,0,0.000821427,889.4781,30773.16,0.000643804,0.021252622,0.010662753,7.70E-06,0.001916545,0.00161546,0.591219056,3.7,3978.44
1,1,1,0,0.00123214,355,19582.92,7.59E-05,0.024448339,0.012124615,0,0.00166389,0,0.811742503,3.5,3153.09
1,1,1,0,0.001642853,0,22380.48,0.000278591,0.009928305,0.008032489,0,0.001642619,0,0.93833267,3.5,3070.69
1,1,1,0,0.000684522,0,2797.56,0.002232043,0.004729015,0.005272608,0,0.001432587,0,1.549796477,3.5,3052.85
1,1,1,0,0.002190471,0,0,0.006401761,0.015302318,0.015894082,0,0.004829182,0,1.884746257,3.25,20414.19791
1,1,1,0,0.001916662,0,0,0.004683624,0.021672996,0.006957531,0,0.00465876,0,2.099827093,3,17230.36
1,1,1,1857.141,0.001505949,0,0,0.001763237,0.038362159,0.004951666,0,0.004056088,0,1.793344048,3,13775.83
1,1,1,1552.3794,0.001916662,0,0,0.003462238,0.030532562,0.005943789,0,0.003629815,0,1.324981179,3,15065.09396
1,1,1,671.4279,0.000958331,0,0,0.000865377,0.01193876,0.003549552,0.00249085,0.00148206,0,0.99327431,3,3674.57
1,1,1,661.9041,0.000136904,0,0,0.000888813,0.009783653,0.001914165,0.003785087,0.001511889,0,0.893774934,2.9,3168.334884
1,1,1,995.2371,0.00123214,0,0,0.001169874,0.025061003,0.007779113,0.001848406,0.001775356,0,0.905839541,2.9,6247.33
1,1,1,995.2371,0.001505949,0,0,0.000807033,0.018629754,0.003657146,0.001170915,0.001659445,0,1.08873892,2.9,6231.95
1,1,1,0,0.001642853,0,0,0.000122782,0.007828542,0.000772954,0,0.001916814,0,0.865709811,2.9,6911.96
1,1,1,0,0.000684522,273.4668,16394.4284,2.74E-05,0.009095695,0.001862185,0,0.012734314,0,1.119814189,3.25,3009.41
1,1,1,0,0.001369044,576243.0043,77873.5353,0,0.019766967,0.007445263,0,0.029059964,0,1.519714231,3.6,4855.19
1,1,1,0,0.003559516,8139111.375,188535.9283,0,0.04409306,0.016784121,0,0.063191715,0,1.590815792,3.6,20793.07
1,1,1,0,0.001369044,3662442.757,65577.7139,0.000112633,0.020372715,0.007754919,0,0.029197039,0,1.385325606,3.6,5549
1,1,1,0,0.001779758,5673639.498,122958.2139,0.004927122,0.032458864,0.01539314,0,0.047940273,4.63E-06,0.979267054,3.65,8297.28
1,1,1,0,0,3345099.823,17004.3024,0.004687365,0.051021931,0.016390136,0,0.039753313,4.52E-06,1.166026195,3.7,8725.383955
1,1,1,0,0,17022.567,13603.4419,0.01536336,0.045719194,0.025327748,0.001109359,0.024623321,2.80E-06,1.193026234,3.7,5526.753955
1,1,1,0,0,25058.683,20405.1628,0.021564234,0.062539499,0.027738862,0.002509521,0.034561649,3.93E-06,0.94719882,3.7,7349.433955
1,1,1,0,0,4704.8372,13603.4419,0.002463688,0.01647315,0.008197161,0.001281687,0.016840938,0,0.716107681,3.7,2962
1,1,1,0,0,4502.3931,23806.0233,0.002525798,0.016276956,0.003541048,0.001313998,0.0172655,0,0.699836896,3.65,3434.22
